#	B	C	C1	C2	C3	D	D1	D2	D3	D4	E	E1	E2	E3	E4	E5
h4	1	0.865541885	0.908316233	0.943592357	0.900988422	0.87286977	0.974437609	0.966939312	0.929277413	0.901499659	0.819700038	0.85122694	0.866734772	0.898432161	0.854124027	0.906952933
h5	0.995225121	0.847203288	0.893587994	0.938608469	0.867667181	0.890177345	0.986357479	1	0.920873184	0.90518417	0.7946794	0.845498001	0.824010935	0.884038236	0.842769467	0.874147347
h6	1	0.854981107	0.914564967	0.950504421	0.899432511	0.883039115	0.95586378	0.944199237	0.947667081	0.942622975	0.794451422	0.832912963	0.868537232	0.91204288	0.845208079	0.891866318
h7	0.993885962	0.866628759	0.913266057	0.970851712	0.904023908	0.904734828	0.984501629	1	0.94639556	0.924356599	0.810180576	0.84672262	0.86876152	0.899616078	0.856106892	0.909995762
h8	0.992260948	0.89165286	0.94637924	0.983416275	0.914317293	0.894416824	1	0.943615277	0.981757873	0.941956874	0.85129908	0.895522385	0.899391911	0.910447767	0.889441676	0.9458264
h9	1	0.875213088	0.896692752	0.950221552	0.877599676	0.88032728	0.954653936	0.86293891	0.88953284	0.857142836	0.824070876	0.844868732	0.852028644	0.837026937	0.845891555	0.866689337
h10	0.938909619	0.96474712	0.960586826	0.962119531	0.989051917	0.951609364	0.913728895	0.850886851	0.989927749	1	0.923363231	0.966717741	0.928399356	0.994088043	0.925552904	0.938909619
h11	1	0.860478962	0.890673807	0.953592147	0.892458755	0.920868653	0.977985995	0.980365904	0.961475508	0.960583067	0.820318327	0.847835785	0.850215693	0.927859573	0.873419619	0.930983182
h12	0.958744674	0.883991505	0.844499268	0.947108564	0.912552914	0.899153716	1	0.970028181	0.93970376	0.907263725	0.831100146	0.877291983	0.882933698	0.948871653	0.857898467	0.89633282
h13	1	0.869323498	0.890824872	0.953846167	0.894717369	0.864689587	0.938646883	0.938832317	0.906765569	0.867840592	0.78721042	0.829101048	0.834291018	0.881186344	0.806487475	0.856719239
h14	1	0.90933228	0.931335379	0.982928684	0.92526553	0.849392995	0.926403596	0.966995433	0.885811841	0.8657056	0.803110746	0.850151705	0.842564517	0.899089523	0.828907398	0.851289853
h16	0.934472972	0.951307999	0.910903957	0.985755038	0.985237048	0.97617199	0.96503497	1	0.980834016	0.992489026	0.99119405	0.964257985	0.960373057	0.996892057	0.971769071	0.977985069
