Sample	File	RL10_ECOLI	RL11_ECOLI	RL13_ECOLI	RL14_ECOLI	RL15_ECOLI	RL16_ECOLI	RL17_ECOLI	RL18_ECOLI	RL19_ECOLI	RL1_ECOLI	RL20_ECOLI	RL21_ECOLI	RL22_ECOLI	RL23_ECOLI	RL24_ECOLI	RL25_ECOLI	RL27_ECOLI	RL28_ECOLI	RL29_ECOLI	RL2_ECOLI	RL30_ECOLI	RL31_ECOLI	RL32_ECOLI	RL33_ECOLI	RL34_ECOLI	RL35_ECOLI	RL36_ECOLI	RL3_ECOLI	RL4_ECOLI	RL5_ECOLI	RL6_ECOLI	RL7_ECOLI	RL9_ECOLI
Restrictive_12	FG-SW-14	2.688369365	3.498492636	3.865548237	3.512213791	3.72776891	1.715450518	0.285684958	4.440304201	3.198568791	3.690987861	4.02765177	3.777497753	3.417044732	2.68720832	4.212112857	3.458854832	3.249346748	2.040265629	3.732057756	3.617104742	2.310734322	3.298235982	0.292681586	1.226991585	2.958639437	0.325896311	0.569538806	3.391163819	3.859647986	3.668368298	3.077342841	3.549313726	2.924705126
Restrictive_13	FG-SW-15	1.508980884	1.984494844	2.354230468	2.05632045	2.41196391	0.887309505	0.284165016	2.387807725	1.82916397	2.237973868	2.375795497	2.310770527	2.070319433	1.486328491	2.465326566	1.906558426	1.906062239	1.468930345	2.185603141	2.460925297	1.305529373	1.982843334	0.273751902	0.816303116	1.931700349	0.277868199	0.585129223	2.167970497	2.33912014	2.176273403	1.869613877	1.832827071	1.671690428
Restrictive_14	FG-SW-16	1.050593551	1.324374046	1.367901494	1.34360787	1.529867601	0.562272669	0.324855918	1.630130868	1.104886308	1.455421796	1.602996703	1.542277898	1.400567474	1.270740518	1.564392625	1.187016978	1.321701998	1.045267156	1.463920925	1.401275802	0.903298494	1.288890854	0.279152087	0.60341221	1.313035203	0.307939048	0.417863906	1.382373043	1.484096345	1.436136222	1.160893579	1.237472888	1.061151509
Restrictive_15	FG-SW-17	0.881082715	1.147450741	1.241106314	1.100016	1.137251965	0.657853905	0.535164831	1.124019076	0.872626839	1.144835281	1.291247974	1.213664771	1.136479493	1.04251252	1.179202463	0.972183742	1.185904804	0.882578081	1.071247883	1.093525942	0.771708162	1.12609266	0.460381588	0.551993223	0.928359016	0.492341026	0.62622979	1.105304926	1.171035351	1.185391193	0.924280867	0.962655671	0.89978641
Restrictive_16	FG-SW-18	1.032264278	1.286575314	1.355774615	1.327204254	1.323570091	0.976055013	0.907752841	1.306725082	1.078545533	1.293544338	1.444137217	1.379585279	1.255922961	0.815605896	1.350845851	1.250230489	1.3434618	1.064751605	1.1737088	1.186496817	0.974886562	1.302337971	0.84513615	0.786881538	0.992884863	0.809754163	0.911677909	1.209917091	1.352593852	1.288319928	1.165771136	1.178482164	1.097200119
Restrictive_17	FG-SW-19	0.943962608	1.144921097	1.242049687	1.120419635	1.235742426	0.911405962	0.810149544	1.229861359	0.953873422	1.176020089	1.324238076	1.268963089	1.160129903	1.41691859	1.267330132	1.038381973	1.161705744	0.972194982	1.164812302	1.090582595	0.865985005	1.140434093	0.750928558	0.709994428	1.541383427	0.716217335	0.739437888	1.126734056	1.191313553	1.176049354	1.101233218	1.138664448	0.932897371
Restrictive_18	FG-SW-20	0.815166095	1.03726156	1.04315145	0.96382248	1.069628867	0.707745052	0.648901615	1.086965936	0.824898945	1.020916467	1.168953968	1.089001782	0.980658953	0.743793546	1.078403234	0.818873371	0.950098389	0.782791289	0.96145357	1.051189637	0.761237616	0.956814283	0.596507191	0.550122665	1.315330671	0.6388633	0.796322361	1.032933788	1.045021809	1.037615949	0.982823803	0.943145932	0.76399311
Restrictive_19	FG-SW-21	0.897755841	1.136939891	1.190323699	1.100588148	1.123503882	0.835884801	0.768289095	1.012073229	0.924933919	1.143628022	1.299256149	1.214091461	1.024328783	1.029313555	1.225402244	1.059838778	1.012345674	0.888746234	0.996779221	1.101694828	0.780004255	1.169766408	0.616159616	0.555709493	1.203894852	0.764406584	0.854444153	1.171949098	1.213906101	1.197636327	1.008483455	1.131103235	0.884347112
Sample	File	RL10_ECOLI	RL11_ECOLI	RL13_ECOLI	RL14_ECOLI	RL15_ECOLI	RL16_ECOLI	RL17_ECOLI	RL18_ECOLI	RL19_ECOLI	RL1_ECOLI	RL20_ECOLI	RL21_ECOLI	RL22_ECOLI	RL23_ECOLI	RL24_ECOLI	RL25_ECOLI	RL27_ECOLI	RL28_ECOLI	RL29_ECOLI	RL2_ECOLI	RL30_ECOLI	RL31_ECOLI	RL32_ECOLI	RL33_ECOLI	RL34_ECOLI	RL35_ECOLI	RL36_ECOLI	RL3_ECOLI	RL4_ECOLI	RL5_ECOLI	RL6_ECOLI	RL7_ECOLI	RL9_ECOLI
Restrictive_1	FG-SW-23	0.012958334	0.080025016	0.047825119	0.030953403	0.048243423	0.014961465	0.457977703	0.039788643	0.049671698	0.055623074	0.065892213	0.057126859	0.058903608	0.153254996	0.086045448	0.028293153	0.036524209	0.00970863	0.048999644	0.049775219	0.039971657	0.071995604	0.02673611	0.052698968	0.046689034	0.012944488	0.02136648	0.060871049	0.070693601	0.038969922	0.016744604	0.027795013	0.019467107
