Fraction	Files	DEAD	YJGA	RLUB	RHLE	YHBY	YIBL	SRMB	RNR	RSMA	RSMG	RLME	IF3	RBFA	RSMC	RLUD	RIMN	RSMI	RLMF	RLMN	RSME	RPOD	RNB	RNE	RSUA	RIMM	RLUF	SRP54	RRAA	YDIJ	RSGA	RIMO	DER	OBG	HPF	RPOZ	RIMJ	RLPA	RNPH	RNC	RPOA	RPOB	RPOC	YBHC	SYFB	FKBA	RRF	NUSA	IF2	IF1	EFTS	CH10	CH60	RF3	PNP	TIG	CSPC	DNAK	GRPE	EFP	EFTU2	DUT	CSPG	CSPA	DNAJ	RLMM	RF1	RELA	RLMI	AHPF	TSAC	RLMKL	RNG	RF2	RHLB	YIHI	FKBB	RSMH	RSMB	RLMH	RSMF	RLUC	RLMG	SSRP	RLMC
Restrictive_12	FG-SW-14	1.136706235	1.544202547	0.600380693	0.385732754	1.140324853	0.517979367	0.29605326	0.346751893	0.440741108	0.458513828	0.987104603	0.044375785	0.239638537	0.064889833	0.147215008	0.108360932	0.119678661	0.115930824	0.141422679	0.139901302	0.209643709	0.126611428	0.221451209	0.152979883	0.058669934	0.149098969	0.148350589	0.172712787	0.149144165	0.239373294	0.193115002	0.132922601	0.209701431	0.128496382	0.111572705	0.118845255	0.064691599	0.099605265	0.222507939	0.120718823	0.115198997	0.106443063	0.058228346	0.052191159	0.047492593	0.040329136	0.026798005	0.0380418	0.043964379	0.058379882	0.061187617	0.027226658	0.050730962	0.122172839	0.020301529	0.027188757	0.013908133	0.013543553	0.011042415	0.008033198	0.183005002	0.086732784	0.086732784	0.426848286	0.342597005	0.231920493	0.390166074	0.246565827	0.207083155	0.222716784	0.129341742	0.321226239	0.272304594	0.303050898	0.367770519	0.194041505	0.316638537	0.180009088	0.247489368	0.405229167	0.220395521	0.190970957	0.146897138	0.46833613
Restrictive_13	FG-SW-15	0.620668786	0.864362619	0.51279481	0.388706049	0.556187398	0.398847604	0.185528969	0.343279817	0.276035142	0.622495967	0.565123928	0.045554365	0.216531832	0.098452261	0.154402652	0.183900124	0.160047806	0.160076311	0.136839467	0.147716852	0.162842978	0.142472623	0.19639958	0.090189167	0.162117982	0.093129541	0.175741397	0.152551388	0.180191335	0.154829287	0.213935875	0.134216325	0.151211823	0.118311166	0.119661087	0.083533569	0.077634548	0.105566861	0.162601855	0.113699338	0.092466342	0.072053026	0.058910217	0.049768309	0.064068009	0.055077586	0.04306001	0.037104666	0.038225529	0.05488923	0.047709644	0.024150638	0.045696565	0.058660989	0.021587659	0.022430032	0.017051934	0.013854478	0.020872982	0.007867792	0.199411199	0.059938289	0.059938289	0.405629427	0.388597294	0.309061109	0.296513989	0.215506156	0.253172247	0.248340337	0.239819491	0.258201171	0.285741879	0.232525219	0.19219354	0.244120644	0.374952046	0.152939473	0.288424641	0.20117001	0.237199223	0.340367759	0.108585658	0.358006175
Restrictive_14	FG-SW-16	0.404489801	0.731670196	0.311385161	0.308013986	0.403380398	1.087763164	0.149202874	0.30667212	0.565085627	0.590881981	0.400840282	0.04039045	0.234739867	0.086301021	0.13620276	0.178981925	0.178146742	0.133529472	0.142052677	0.20276363	0.168974707	0.124383037	0.268492828	0.133549196	0.232225235	0.171802694	0.21743754	0.182087357	0.193830444	0.233817321	0.221950646	0.134269441	0.09869833	0.086617932	0.141869321	0.170257236	0.056152206	0.0799288	0.062915098	0.086866882	0.070574361	0.058170503	0.055826478	0.042499666	0.053937561	0.048988051	0.031525595	0.037794968	0.052549302	0.065447571	0.093161793	0.028440668	0.093906684	0.059827724	0.023529755	0.025824803	0.016480635	0.015247491	0.016496309	0.00763418	0.133350037	0.104425751	0.104425751	0.35159588	0.147921225	0.183797558	0.215450769	0.243336799	0.37037641	0.229458302	0.156132208	0.216531884	0.293950217	0.25254711	0.44546072	0.242568875	0.298935422	0.20516654	0.326475288	0.109911678	0.217942166	0.461425311	0.106097675	1.049424479
Restrictive_15	FG-SW-17	0.247907473	0.32319384	0.221820378	0.192758951	0.208312737	0.287542655	0.134229054	0.275732267	0.48666726	0.392084874	0.424893542	0.027113433	0.349985729	0.064011776	0.145147379	0.148296042	0.153203208	0.13299662	0.127340887	0.139831461	0.146485645	0.143886861	0.173549415	0.174386164	0.216294574	0.122546529	0.156531873	0.089834856	0.175613395	0.242672187	0.248987062	0.144297196	0.141081102	0.032893404	0.109840515	0.064728468	0.118407118	0.096294148	0.15670441	0.091226692	0.052310522	0.044537554	0.068025711	0.043698799	0.035049134	0.046663651	0.03754321	0.035981226	0.04431323	0.055770523	0.049101073	0.024603139	0.099731958	0.071879689	0.016244225	0.020945431	0.013428633	0.016921392	0.018298484	0.004284651	0.030722474	0.089694577	0.089694577	0.362329636	0.296228848	0.311005772	0.180992156	0.323201205	0.40276666	0.222611057	0.1191163	0.238666418	0.175042321	0.226062116	0.237679754	0.241577686	0.206858353	0.148861623	0.206523269	0.231304863	0.161259183	0.139229045	0.100236835	1.420634888
Restrictive_16	FG-SW-18	0.197073594	0.490706492	0.244537773	0.21046692	0.291279167	0.380915807	0.123181664	0.260007204	0.211491277	0.821039459	0.774722422	0.030883334	0.24859339	0.111084748	0.076627017	0.135380436	0.190665059	0.274522111	0.095447487	0.093972839	0.205684003	0.117532373	0.145878732	0.079241533	0.090605301	0.152310307	0.146850831	0.151914918	0.159214791	0.213506069	0.127367931	0.151006963	0.086382231	0.055316285	0.107146043	0.085313598	0.048505094	0.205781414	0.1581203	0.076424924	0.0447213	0.0475718	0.08551189	0.065333404	0.039161898	0.043293732	0.044381554	0.045013658	0.04636446	0.058304891	0.045950764	0.018770561	0.058066511	0.064061593	0.015605726	0.033473514	0.021572553	0.016365095	0.013324825	0.006054627	0.027990646	0.065823791	0.065823791	0.313896832	0.222935244	0.274743341	0.164005219	0.213842257	0.296283635	0.324689623	0.144800122	0.161657852	0.140452326	0.268954052	0.199103424	0.155203108	0.191194193	0.140402952	0.367204871	0.139485313	0.165967249	0.337810043	0.099249903	0.44635396
Restrictive_17	FG-SW-19	0.189113412	0.352562326	0.247762794	0.203168266	0.135048884	0.357548241	0.087710564	0.216865434	0.655929376	0.07221197	0.562244397	0.034139593	0.21014697	0.070858895	0.108616191	0.216371351	0.123445335	0.179238974	0.19803307	0.135031823	0.154305951	0.116731717	0.190616846	0.120695754	0.173329239	0.071997613	0.198776509	0.137114422	0.175521627	0.200837252	0.165604211	0.135673566	0.082527772	0.089124787	0.099596417	0.077045666	0.100624002	0.106435094	0.143355238	0.086196764	0.052335201	0.037356465	0.087246333	0.050962325	0.066931013	0.041797433	0.024538853	0.043525512	0.039553909	0.046246913	0.030998396	0.02380852	0.055044669	0.06427382	0.019464056	0.028259322	0.022254364	0.013156202	0.015560189	0.007013141	0.303465977	0.079753786	0.079753786	0.405682017	0.333009843	0.358253305	0.198876894	0.228469266	0.312322419	0.276803499	0.144772554	0.318575271	0.272261337	0.288132432	0.298310417	0.247127877	0.287997041	0.173288026	0.226417814	0.205858032	0.20568553	0.467579692	0.09737747	0.960120613
Restrictive_18	FG-SW-20	0.182723413	0.439002953	0.202515432	0.119282469	0.200359131	0.290063097	0.085436544	0.268463752	0.394510274	0.742784599	0.775551504	0.037976374	0.205542787	0.074311345	0.113934422	0.105590332	0.122433454	0.168203671	0.113955174	0.149804037	0.22751742	0.154181084	0.188604773	0.104583599	0.121068522	0.138661538	0.13205614	0.122912861	0.170244179	0.233081701	0.215485275	0.198396484	0.092768454	0.054451955	0.105967537	0.082124103	0.070392806	0.07519453	0.117038305	0.073410812	0.063359765	0.034168679	0.08140949	0.05819902	0.037313551	0.044743019	0.039044019	0.045144492	0.05201332	0.035588885	0.029844141	0.029301353	0.044286645	0.070479662	0.017727174	0.025876907	0.015316281	0.011743386	0.011703604	0.007191794	0.258978244	0.074334458	0.074334458	0.340122248	0.307661127	0.20579592	0.230252934	0.238692188	0.304624708	0.2050166	0.186890372	0.219406478	0.28988479	0.205335458	0.302683235	0.226955287	0.188877789	0.121297437	0.280815645	0.407373317	0.171469265	0.197972347	0.131507856	1.311005153
Restrictive_19	FG-SW-21	0.157132825	0.19095729	0.209149991	0.149913007	0.114484284	0.164411652	0.061421746	0.263618684	0.290531508	0.62084277	0.273486088	0.030885153	0.203700184	0.10520316	0.12535279	0.155020172	0.118855166	0.128969466	0.103627115	0.138337793	0.140797862	0.147737878	0.177335213	0.046470301	0.128001754	0.143205266	0.154935621	0.135721634	0.182903956	0.176278756	0.267762976	0.167662441	0.112167314	0.04005279	0.127679541	0.112652911	0.073292554	0.202466858	0.131433698	0.06393489	0.054281331	0.033060589	0.122134489	0.048106599	0.031710604	0.038460301	0.037431089	0.042403717	0.04099479	0.058278294	0.011624639	0.018405365	0.051641836	0.067061984	0.021546545	0.019920639	0.012179327	0.013252309	0.01449912	0.007993679	0.033647159	0.085652343	0.085652343	0.262695371	0.332499285	0.256451652	0.291797718	0.266531982	0.234609571	0.208488674	0.155077993	0.16707895	0.241945534	0.204437576	0.249717652	0.226197781	0.212733061	0.145955589	0.173517349	0.074284958	0.21999461	0.486680883	0.266587055	0.370991904
Restrictive_20	FG-SW-22	0.168549971	0.245270357	0.202051554	0.275264544	0.113951545	0.224365948	0.072787439	0.266396308	0.09157039	0.516608109	0.526567203	0.031177711	0.17974397	0.099962344	0.07931539	0.12527788	0.108681466	0.074846394	0.092753906	0.133298471	0.190504224	0.172199636	0.15254538	0.106665953	0.134019672	0.194147536	0.151809592	0.208570639	0.14599565	0.144279076	0.16030731	0.170718319	0.091865728	0.080449615	0.068147207	0.064680335	0.066397817	0.092060382	0.143217546	0.077776572	0.036653123	0.031658494	0.083335566	0.039258068	0.045578521	0.038212471	0.029347824	0.039386233	0.035631279	0.047481991	0.037871814	0.022014919	0.036622156	0.075042903	0.025293074	0.024133539	0.009525806	0.011332138	0.014378433	0.007302976	0.040616618	0.064807441	0.064807441	0.297873753	0.430507022	0.323765435	0.210102535	0.25063012	0.233794829	0.164402243	0.155140669	0.161921124	0.289644136	0.33955308	0.312910172	0.241783526	0.32880582	0.148440896	0.208256	0.21965602	0.363211232	0.516596305	0.856676997	0.19347325
Permissive_1	FG-SW-23	0.372237888	0.309959599	0.145259492	0.257997525	0.504325482	0.838789609	0.313321992	0.172434583	0.349783995	0.488511916	0.605349688	0.039174641	0.291669622	0.07703649	0.116266925	0.129122786	0.167483242	0.110139995	0.162259275	0.150485064	0.124089734	0.16057312	0.146232357	0.131827355	0.23822559	0.096483662	0.135579855	0.132597188	0.140166961	0.218723578	0.21543321	0.17580371	0.153530088	0.118072927	0.101049442	0.099889179	0.090650335	0.074202247	0.159408088	0.058640817	0.042346611	0.028568821	0.072258653	0.034160501	0.037285247	0.043836387	0.038502451	0.036992331	0.049108881	0.050736031	0.041577706	0.087204543	0.082597394	0.05843896	0.032154647	0.015011399	0.029088244	0.015254535	0.01159498	0.006699638	0.027919654	0.076826264	0.076826264	0.288818233	0.30875399	0.170262098	0.217656723	0.315934712	0.307398125	0.387058893	0.203648745	0.278035183	0.235079908	0.177543533	0.212917999	0.161601826	0.14116439	0.202783547	0.19490634	0.233076771	0.265800798	0.10768581	0.073896965	0.224372743
