id n14mass n15mass n14avgmass n993avgmass
a 42.0105646837 42.0105646837 42.0367582284579 42.0367582284579
b 45.98772106414 45.98772106414 46.091404639489 46.091404639489
c 57.02146372057 57.02146372057 57.0514021941691 58.0378286363034
d 2.01565006414 2.01565006414 2.01588150779852 2.01588150779852
m 14.01565006414 14.01565006414 14.026617404563 14.026617404563
p 79.96633052075 79.96633052075 79.9799171652907 79.9799171652907
e 341.07468106189 342.07171595529 341.270761419177 342.257187861312
f 226.04773803806 226.04773803806 226.18319606942 226.18319606942
u 0 0 0 0
